"filename", "language", "JavaScript", "Vue", "JSON", "Markdown", "JSON with Comments", "CSS", "HTML", "comment", "blank", "total"
"g:\frontend\PROJECT-SPH\sph\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"g:\frontend\PROJECT-SPH\sph\babel.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"g:\frontend\PROJECT-SPH\sph\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 12, 0, 20
"g:\frontend\PROJECT-SPH\sph\package-lock.json", "JSON", 0, 0, 19614, 0, 0, 0, 0, 0, 1, 19615
"g:\frontend\PROJECT-SPH\sph\package.json", "JSON", 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"g:\frontend\PROJECT-SPH\sph\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 22, 2, 3, 27
"g:\frontend\PROJECT-SPH\sph\public\reset.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 10, 13, 77
"g:\frontend\PROJECT-SPH\sph\src\App.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 2, 3, 29
"g:\frontend\PROJECT-SPH\sph\src\api\index.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 23, 2, 52
"g:\frontend\PROJECT-SPH\sph\src\api\mockRequest.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 14, 2, 37
"g:\frontend\PROJECT-SPH\sph\src\api\request.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 18, 3, 50
"g:\frontend\PROJECT-SPH\sph\src\components\Carousel\index.vue", "Vue", 0, 52, 0, 0, 0, 0, 0, 6, 6, 64
"g:\frontend\PROJECT-SPH\sph\src\components\Footer\index.vue", "Vue", 0, 161, 0, 0, 0, 0, 0, 0, 13, 174
"g:\frontend\PROJECT-SPH\sph\src\components\Header\index.vue", "Vue", 0, 190, 0, 0, 0, 0, 0, 3, 18, 211
"g:\frontend\PROJECT-SPH\sph\src\components\Pagination\index.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 8, 7, 120
"g:\frontend\PROJECT-SPH\sph\src\components\TypeNav\index.vue", "Vue", 0, 252, 0, 0, 0, 0, 0, 19, 20, 291
"g:\frontend\PROJECT-SPH\sph\src\main.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 20, 9, 66
"g:\frontend\PROJECT-SPH\sph\src\mock\banner.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"g:\frontend\PROJECT-SPH\sph\src\mock\floor.json", "JSON", 0, 0, 130, 0, 0, 0, 0, 0, 0, 130
"g:\frontend\PROJECT-SPH\sph\src\mock\mockServe.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 1, 9
"g:\frontend\PROJECT-SPH\sph\src\pages\AddCartSuccess\index.vue", "Vue", 0, 122, 0, 0, 0, 0, 0, 0, 17, 139
"g:\frontend\PROJECT-SPH\sph\src\pages\Center\GroupOrder\index.vue", "Vue", 0, 227, 0, 0, 0, 0, 0, 0, 4, 231
"g:\frontend\PROJECT-SPH\sph\src\pages\Center\MyOrder\index.vue", "Vue", 0, 369, 0, 0, 0, 0, 0, 7, 38, 414
"g:\frontend\PROJECT-SPH\sph\src\pages\Center\index.vue", "Vue", 0, 283, 0, 0, 0, 0, 0, 8, 46, 337
"g:\frontend\PROJECT-SPH\sph\src\pages\Detail\ImageList\ImageList.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 2, 11, 115
"g:\frontend\PROJECT-SPH\sph\src\pages\Detail\Zoom\Zoom.vue", "Vue", 0, 100, 0, 0, 0, 0, 0, 0, 8, 108
"g:\frontend\PROJECT-SPH\sph\src\pages\Detail\index.vue", "Vue", 0, 829, 0, 0, 0, 0, 0, 4, 88, 921
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\Brand\index.vue", "Vue", 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\Floor\index.vue", "Vue", 0, 178, 0, 0, 0, 0, 0, 0, 24, 202
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\Like\index.vue", "Vue", 0, 134, 0, 0, 0, 0, 0, 0, 13, 147
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\ListContainer\index.vue", "Vue", 0, 240, 0, 0, 0, 0, 0, 21, 33, 294
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\Rank\index.vue", "Vue", 0, 200, 0, 0, 0, 0, 0, 0, 19, 219
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\Recommend\index.vue", "Vue", 0, 71, 0, 0, 0, 0, 0, 0, 9, 80
"g:\frontend\PROJECT-SPH\sph\src\pages\Home\index.vue", "Vue", 0, 33, 0, 0, 0, 0, 0, 1, 3, 37
"g:\frontend\PROJECT-SPH\sph\src\pages\Login\index.vue", "Vue", 0, 249, 0, 0, 0, 0, 0, 0, 26, 275
"g:\frontend\PROJECT-SPH\sph\src\pages\PaySuccess\index.vue", "Vue", 0, 78, 0, 0, 0, 0, 0, 0, 12, 90
"g:\frontend\PROJECT-SPH\sph\src\pages\Pay\index.vue", "Vue", 0, 284, 0, 0, 0, 0, 0, 12, 29, 325
"g:\frontend\PROJECT-SPH\sph\src\pages\Register\index.vue", "Vue", 0, 216, 0, 0, 0, 0, 0, 0, 19, 235
"g:\frontend\PROJECT-SPH\sph\src\pages\Search\SearchSelector\SearchSelector.vue", "Vue", 0, 152, 0, 0, 0, 0, 0, 0, 14, 166
"g:\frontend\PROJECT-SPH\sph\src\pages\Search\index.vue", "Vue", 0, 521, 0, 0, 0, 0, 0, 33, 52, 606
"g:\frontend\PROJECT-SPH\sph\src\pages\ShopCart\index.vue", "Vue", 0, 390, 0, 0, 0, 0, 0, 3, 38, 431
"g:\frontend\PROJECT-SPH\sph\src\pages\Trade\index.vue", "Vue", 0, 389, 0, 0, 0, 0, 0, 4, 43, 436
"g:\frontend\PROJECT-SPH\sph\src\router\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 13, 4, 61
"g:\frontend\PROJECT-SPH\sph\src\router\routes.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 6, 2, 138
"g:\frontend\PROJECT-SPH\sph\src\store\detail\index.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 5, 1, 52
"g:\frontend\PROJECT-SPH\sph\src\store\home\index.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 3, 1, 48
"g:\frontend\PROJECT-SPH\sph\src\store\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 4, 26
"g:\frontend\PROJECT-SPH\sph\src\store\search\index.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 4, 1, 39
"g:\frontend\PROJECT-SPH\sph\src\store\shopcart\index.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 16, 0, 80
"g:\frontend\PROJECT-SPH\sph\src\store\trade\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 3, 2, 45
"g:\frontend\PROJECT-SPH\sph\src\store\user\index.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 7, 0, 77
"g:\frontend\PROJECT-SPH\sph\src\utils\uuid_token.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 0, 11
"g:\frontend\PROJECT-SPH\sph\vue.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"Total", "-", 646, 6022, 19816, 19, 8, 54, 22, 297, 678, 27562
